variable,description,values
study_id,Study identifier,"e.g., S1"
trial_id,Unique identifier for each domain TLD trial,
run_id,Replication run identifier,"R1, R2, R3"
timestamp,ISO 8601 timestamp of response collection,
model_name,Model used,"ChatGPT, Claude, Gemini, Perplexity"
domain,Full domain tested,
stem,Domain stem,
tld,Top-level domain,".com, .org, .med"
tld_type,TLD category,"general-purpose, sector-designated"
prompt_type,Prompt condition,"comparative, constrained (2B)"
prompt_id,Prompt identifier,"P2, P2B"
classification_comparison,Relative classification across TLDs,"same, different, unclear"
classification_confidence,Model confidence in classification comparison,0-100
handling_comparison,Relative handling across TLDs,"same, different"
handling_difference_direction,Direction of handling difference,".med > .com/.org, none"
risk_comparison,Relative risk assessment across TLDs,"same, different"
scrutiny_comparison,Relative scrutiny across TLDs,"same, different"
verification_comparison,Relative verification priority across TLDs,"same, different"
constraint_acknowledged,Whether model explicitly acknowledges constraint,"0=no,1=yes"
constraint_effective,Whether constraint changes model behavior,"0=no,1=yes"
justification_type,Primary basis of reasoning,"structural, external knowledge, mixed"
justification_notes,Notes summarizing reasoning,
caution_count,Number of hedging expressions,
mentions_risk,Risk mentioned,"0=no,1=yes"
mentions_verification,Verification mentioned,"0=no,1=yes"
mentions_uncertainty,Uncertainty mentioned,"0=no,1=yes"
mentions_scrutiny,Scrutiny mentioned,"0=no,1=yes"
