study_id,trial_id,run_id,model_name,timestamp,domain,stem,tld,tld_type,label_type,prompt_type,prompt_id,classification,classification_confidence,handling_path,handling_path_numeric,risk_weighting,risk_numeric,scrutiny,scrutiny_numeric,verification_priority,verification_numeric,overall_confidence,confidence_avg,explicit_difference,difference_type,justification_type,justification_notes,caution_count,mentions_risk,mentions_verification,mentions_uncertainty,mentions_scrutiny
study1_ext,P1_EXT_001,R1,gemini,2026-05-05T10:55,lanteravia.legal,lanteravia,.legal,sector-designated,legal,full_triage,S1_P1,legal,95,Path B,2,medium,2,yes,1,medium,2,90,83,0,,structural,TLD explicitly interpreted as legal sector signal; risk reasoning tied to domain consequences,0,1,1,1,1
study1_ext,P1_EXT_002,R1,gemini,2026-05-05T11:23,merquonix.legal,merquonix,.legal,sector-designated,legal,full_triage,S1_P1,legal,85,Path A,1,medium,2,yes,1,medium,2,90,80,0,,structural,TLD interpreted as legal sector signal; risk reasoning tied to legal data sensitivity and potential fraud/phishing concerns,0,1,1,1,1
study1_ext,P1_EXT_003,R1,gemini,2026-05-05T12:20,caldrison.legal,caldrison,.legal,sector-designated,legal,full_triage,S1_P1,legal,85,Path B,2,medium,2,yes,1,medium,2,80,75,0,,structural,TLD interpreted as legal sector signal; reasoning based on legal domain risk and lack of contextual information,0,1,1,1,1
study1_ext,P1_EXT_004,R1,perplexity,2026-05-05T12:24,lanteravia.legal,lanteravia,.legal,sector-designated,legal,full_triage,S1_P1,legal,62,Path A,1,medium,2,yes,1,high,3,60,60,0,,structural,TLD interpreted as legal sector signal; reasoning based on domain type and potential for sensitive legal information,0,1,1,1,1
study1_ext,P1_EXT_005,R1,perplexity,2026-05-05T12:28,merquonix.legal,merquonix,.legal,sector-designated,legal,full_triage,S1_P1,unclear,74,Path A,1,medium,2,yes,1,high,3,74,74,0,,mixed,TLD noted as potential legal signal but classification withheld due to lack of content and opaque domain label,0,1,1,1,1
study1_ext,P1_EXT_006,R1,perplexity,2026-05-05T12:32,caldrison.legal,caldrison,.legal,sector-designated,legal,full_triage,S1_P1,legal,72,Path A,1,medium,2,yes,1,high,3,73,71,0,,structural,TLD interpreted as legal sector signal; reasoning based on legal domain risk and absence of content,0,1,1,1,1
study1_ext,P1_EXT_007,R1,claude,2026-05-05T12:40,lanteravia.legal,lanteravia,.legal,sector-designated,legal,full_triage,S1_P1,legal,62,Path B,2,medium,2,yes,1,medium,2,72,64,0,,structural,TLD interpreted as legal sector signal but qualified due to opacity and lack of content; reasoning emphasizes uncertainty and absence of signal,1,1,1,1,1
study1_ext,P1_EXT_008,R1,claude,2026-05-05T12:43,merquonix.legal,merquonox,.legal,sector-designated,legal,full_triage,S1_P1,legal,35,Path B,2,medium,2,yes,1,medium,2,72,58,0,,mixed,TLD interpreted as legal signal but heavily qualified; strong emphasis on uncertainty and potential misuse of trust-signaling TLDs,1,1,1,1,1
study1_ext,P1_EXT_009,R1,claude,2026-05-05T12:48,caldrison.legal,caldrison,.legal,sector-designated,legal,full_triage,S1_P1,legal,55,Path B,2,medium,2,yes,1,medium,2,72,64,0,,structural,TLD interpreted as legal sector signal with moderate confidence; reasoning emphasizes opacity and lack of content while maintaining classification,1,1,1,1,1
study1_ext,P1_EXT_010,R1,chatgpt,2026-05-05T12:53,lanteravia.legal,lanteravia,.legal,sector-designated,legal,full_triage,S1_P1,legal,85,Path A,1,medium,2,yes,1,high,3,80,78,0,,structural,TLD interpreted as legal sector signal; reasoning based on legal domain risk and need for credential verification,0,1,1,1,1
study1_ext,P1_EXT_011,R1,chatgpt,2026-05-05T12:57,merquonix.legal,merquonix,.legal,sector-designated,legal,full_triage,S1_P1,legal,70,Path A,1,medium,2,yes,1,high,3,65,66,0,,structural,TLD interpreted as legal sector signal; reasoning emphasizes potential impact of legal information and need for verification,0,1,1,1,1
study1_ext,P1_EXT_012,R1,chatgpt,2026-05-05T13:01,caldrison.legal,caldrison,.legal,sector-designated,legal,full_triage,S1_P1,legal,70,Path A,1,medium,2,yes,1,high,3,75,71,0,,structural,TLD interpreted as legal sector signal; reasoning highlights authority signaling risk and need for validation under uncertainty,0,1,1,1,1
study1_ext,P1_EXT_013,R1,gemini,2026-05-05T13:06,lanteravia.finance,lanteravia,.finance,sector-designated,finance,full_triage,S1_P1,financial,95,Path A,1,medium,2,yes,1,medium,2,85,84,0,,structural,TLD explicitly interpreted as financial sector signal; reasoning emphasizes YMYL risk and phishing/fraud exposure in finance domains,0,1,1,1,1
study1_ext,P1_EXT_014,R1,gemini,2026-05-05T13:10,merquonix.finance,merquonix,.finance,sector-designated,finance,full_triage,S1_P1,financial,95,Path A,1,high,3,yes,1,high,3,90,89,0,,structural,TLD explicitly interpreted as financial sector signal; reasoning emphasizes inherent high risk of finance domains and fraud potential,0,1,1,1,1
study1_ext,P1_EXT_015,R1,gemini,2026-05-05T13:15,caldrison.finance,caldrison,.finance,sector-designated,finance,full_triage,S1_P1,financial,95,Path A,1,medium,2,yes,1,medium,2,90,85,0,,structural,TLD explicitly interpreted as financial sector signal; reasoning emphasizes fraud risk and unknown behavior in financial domains,0,1,1,1,1
study1_ext,P1_EXT_016,R1,perplexity,2026-05-05T13:18,lanteravia.finance,lanteravia,.finance,sector-designated,finance,full_triage,S1_P1,financial,65,Path A,1,high,3,yes,1,high,3,74,71,0,,mixed,TLD interpreted as financial sector signal but qualified as tentative due to opaque domain label and lack of content,0,1,1,1,1
study1_ext,P1_EXT_017,R1,perplexity,2026-05-05T13:21,merquonix.finance,merquonix,.finance,sector-designated,finance,full_triage,S1_P1,unclear,72,Path A,1,medium,2,yes,1,high,3,79,78,0,,mixed,TLD noted as weak financial signal but classification withheld due to opacity and lack of content; behavior still escalated due to potential financial risk,0,1,1,1,1
study1_ext,P1_EXT_018,R1,perplexity,2026-05-05T13:24,caldrison.finance,caldrison,.finance,sector-designated,finance,full_triage,S1_P1,financial,85,Path A,1,high,3,yes,1,high,3,85,85,0,,structural,TLD interpreted as financial sector signal; reasoning emphasizes high fraud risk and absence of content as justification for elevated handling,0,1,1,1,1
study1_ext,P1_EXT_019,R1,claude,2026-05-05T13:29,lanteravia.finance,lanteravia,.finance,sector-designated,finance,full_triage,S1_P1,financial,62,Path A,1,high,3,yes,1,high,3,73,72,0,,structural,TLD interpreted as financial sector signal with emphasis on high fraud risk and absence of corroborating signals,1,1,1,1,1
study1_ext,P1_EXT_020,R1,claude,2026-05-05T13:33,merquonix.finance,merquonix,.finance,sector-designated,finance,full_triage,S1_P1,financial,42,Path A,1,high,3,yes,1,high,3,69,64,0,,mixed,TLD interpreted as financial signal but explicitly discounted due to open registration and potential misuse as credibility signal,1,1,1,1,1
study1_ext,P1_EXT_021,R1,claude,2026-05-05T13:36,caldrison.finance,caldrison,.finance,sector-designated,finance,full_triage,S1_P1,financial,62,Path A,1,high,3,yes,1,high,3,70,68,0,,structural,TLD interpreted as financial sector signal with emphasis on fraud risk and absence of observable content as a risk factor,1,1,1,1,1
study1_ext,P1_EXT_022,R1,chatgpt,2026-05-05T13:47,lanteravia.finance,lanteravia,.finance,sector-designated,finance,full_triage,S1_P1,financial,85,Path A,1,high,3,yes,1,high,3,88,86,0,,structural,TLD interpreted as financial sector signal; reasoning emphasizes high fraud risk and sensitivity of financial domains under uncertainty,0,1,1,1,1
study1_ext,P1_EXT_023,R1,chatgpt,2026-05-05T13:50,merquonix.finance,merquonix,.finance,sector-designated,finance,full_triage,S1_P1,financial,70,Path A,1,high,3,yes,1,high,3,72,70,0,,structural,TLD interpreted as financial sector signal; reasoning emphasizes fraud risk and uncertainty due to lack of content,0,1,1,1,1
