study_id,session_id,trial_id,run_id,sequence_order,model_name,timestamp,domain,stem,tld,tld_type,label_type,prompt_type,prompt_id,retrieval_priority_1,retrieval_type_1,retrieval_purpose_1,retrieval_confidence_1,retrieval_priority_2,retrieval_type_2,retrieval_purpose_2,retrieval_confidence_2,retrieval_priority_3,retrieval_type_3,retrieval_purpose_3,retrieval_confidence_3,retrieval_priority_4,retrieval_type_4,retrieval_purpose_4,retrieval_confidence_4,retrieval_priority_5,retrieval_type_5,retrieval_purpose_5,retrieval_confidence_5,overall_retrieval_strategy,uncertainty_posture,verification_escalation,retrieval_depth_priority,justification_type,justification_notes,caution_count,mentions_risk,mentions_verification,mentions_uncertainty,mentions_scrutiny,mentions_retrieval_sequencing,mentions_authority_checking,mentions_metadata,mentions_content_retrieval,coder_id,coding_version
study1_P1,S1,P1_001,R1,1,gemini,5/27/2026,lanteravia.com,lanteravia,.com,general-purpose,general,full_triage,S1_P1,Passive namespace and registration data retrieval,metadata,"Query WHOIS history, registrar identity, creation date, and passive DNS routing history to establish temporal baseline and identify infrastructure reuse or suspicious registration patterns.",95,Low-interaction technical handshake retrieval,technical,"Inspect SSL/TLS transparency logs, DNS resource records, and HTTP header responses to determine operational status, hosting characteristics, and intended infrastructure use while minimizing interaction footprint.",85,Passive-first defensive infrastructure triage,procedural,Prioritize passive metadata and low-interaction technical signals before active scanning or content retrieval in order to minimize operational exposure and efficiently allocate investigative resources under uncertainty.,90,,,,,,,,,infrastructure-first uncertainty reduction,narrowed,moderate,metadata-first,mixed,"Strong emphasis on passive reconnaissance, operational footprint minimization, infrastructure profiling, and staged escalation logic prior to semantic or active content analysis. Explicitly frames retrieval ordering around resource allocation and anti-analysis avoidance.",7,1,1,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_002,R1,2,gemini,5/27/2026,lanteravia.med,lanteravia,.med,sector-specific,medical,full_triage,S1_P1,Passive DNS and WHOIS infrastructure retrieval,metadata,"Collect registration dates, registrar profiles, network history, and IP allocation mappings without direct host interaction in order to establish infrastructure age, ownership patterns, and possible malicious clustering.",90,SSL/TLS certificate analysis and passive HTTP header observation,technical,"Inspect cryptographic certificates, SANs, server headers, and response codes to evaluate structural alignment with legitimate entities and confirm active infrastructure configuration without executing active content.",85,Zero-trust passive-first medical infrastructure sequencing,procedural,"Prioritize passive third-party telemetry and low-interaction infrastructure analysis before active retrieval in order to minimize exposure, preserve operational safety, and determine whether deeper content extraction is warranted.",95,,,,,,,,,zero-trust defensive escalation,narrowed,high,metadata-first,mixed,"Strong emphasis on zero-trust retrieval logic, passive infrastructure telemetry, credential alignment, anti-exploitation safeguards, and staged escalation prior to active semantic analysis. Explicitly prioritizes external metadata and structural verification over direct content interaction.",8,1,1,1,1,1,1,1,0,RF,v1
study1_P1,S1,P1_003,R1,3,gemini,5/27/2026,lanteravia.finance,lanteravia,.finance,sector-specific,finance,full_triage,S1_P1,Passive namespace and infrastructure metadata retrieval,metadata,"Query WHOIS records, DNS zone records, and TLS/SSL certificate transparency logs to determine registration age, hosting infrastructure, and structural anomalies without interacting directly with the host.",95,Passive threat intelligence and reputation aggregation,reputation,"Cross-reference domain and IP infrastructure against malware blocklists, phishing reputation engines, and passive threat intelligence sources to identify prior malicious associations without active probing.",85,Zero-interaction financial-risk infrastructure sequencing,procedural,"Prioritize passive metadata collection and third-party threat intelligence before active contact in order to minimize operational exposure, identify known malicious infrastructure early, and optimize escalation resource allocation.",90,,,,,,,,,zero-trust financial escalation,narrowed,high,metadata-first,mixed,"Strong emphasis on passive intelligence gathering, fraud/phishing risk mitigation, infrastructure anomaly detection, reputation screening, and defensive sequencing prior to active retrieval or sandboxing. Explicitly frames escalation around financial-sector risk and operational safety.",8,1,1,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_004,R1,4,gemini,5/27/2026,lanteravia.legal,lanteravia,.legal,sector-specific,legal,full_triage,S1_P1,Passive infrastructure and registration metadata retrieval,metadata,"Query WHOIS records, DNS framework records, and passive DNS history without interacting directly with the target server in order to establish registration age, registrar reputation, and infrastructure completeness.",90,Low-interaction cryptographic and protocol handshake retrieval,technical,"Retrieve SSL/TLS certificate chains and public HTTP response headers through isolated staging infrastructure to evaluate cryptographic trust configuration, server identity, and infrastructure reuse patterns.",80,Passive-first legal-sector infrastructure validation,procedural,Prioritize passive metadata collection and low-interaction cryptographic inspection before active content retrieval in order to quantify structural risk and preserve defensive isolation under uncertainty.,85,,,,,,,,,defensive staged verification,narrowed,moderate,metadata-first,mixed,"Strong emphasis on infrastructure legitimacy assessment, passive reconnaissance, cryptographic validation, defensive isolation, and staged escalation before active retrieval. Explicitly frames sequencing around minimizing operational exposure and quantifying structural risk in a legal-sector context.",7,1,1,1,1,1,0,1,0,RF,v1
study1_P1,S1,P1_005,R1,5,gemini,5/27/2026,lanteravia.kids,lanteravia,.kids,sector-specific,child-oriented,full_triage,S1_P1,Passive namespace and infrastructure metadata retrieval,metadata,"Query WHOIS databases, DNS registration records, and TLD registry compliance logs without host interaction to assess registration status, operational age, registrar signals, and child-safety namespace compliance indicators.",90,Passive security and reputation signal retrieval,reputation,"Check external threat intelligence feeds, SSL/TLS certificate transparency logs, safe-browsing/blocklist sources, and historical reputation signals to identify malware, phishing, credential-harvesting, or other abuse indicators.",85,Passive-first child-safety verification sequencing,procedural,"Prioritize administrative compliance and passive security reputation checks before active content retrieval in order to protect child-oriented workflows, avoid target interaction, and determine whether sandboxed active inspection is warranted.",88,,,,,,,,,child-safety defensive escalation,narrowed,high,metadata-first,mixed,"Strong emphasis on child-safety compliance, passive infrastructure review, registry-policy checks, reputation screening, and staged escalation before active content inspection. Includes some registry-legitimacy/compliance language while maintaining verification-oriented handling.",8,1,1,1,1,1,1,1,1,RF,v1
study1_P1,S1,P1_006,R1,6,gemini,5/27/2026,lanteravia.org,lanteravia,.org,general-purpose,general,full_triage,S1_P1,Passive infrastructure and structural metadata retrieval,metadata,"Query historical registration metadata, DNS configurations, and passive threat-intelligence/blocklist status without interacting with the host server to establish operational history, infrastructure intent, and baseline structural footprint.",95,Low-interaction cryptographic and transport-layer probing,technical,"Inspect SSL/TLS certificate metadata, passive DNS telemetry, and shared hosting/network adjacency information to identify hosting environments, cryptographic relationships, and broader infrastructure context.",85,Incremental uncertainty-preserving infrastructure sequencing,procedural,"Prioritize passive infrastructure analysis and low-interaction transport-layer inspection before active content retrieval in order to minimize investigative exposure, preserve operational security, and build structural certainty incrementally.",90,,,,,,,,,defensive incremental triage,narrowed,moderate,metadata-first,mixed,"Strong emphasis on defensive sequencing, passive metadata collection, operational security preservation, incremental certainty-building, and infrastructure-context mapping prior to active semantic retrieval. Maintains ambiguity-preserving posture while gradually escalating technical verification.",8,1,1,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_007,R1,1,gemini,5/27/2026,merquonix.com,merquonix,.com,general-purpose,general,full_triage,S1_P1,Passive namespace and registration metadata retrieval,metadata,"Query WHOIS registries and DNS zone files to extract registration dates, registrar data, nameserver configurations, and domain status codes in order to establish baseline operational legitimacy without direct host interaction.",95,Passive infrastructure and routing inspection,technical,"Perform passive DNS lookups to identify historical IP mappings, hosting providers, ASN allocations, and mail/security infrastructure records to contextualize hosting environment and infrastructure reputation.",85,Passive-first ambiguity-preserving infrastructure triage,procedural,"Prioritize passive registration and infrastructure metadata collection before active retrieval in order to minimize operational exposure, preserve neutral handling, and efficiently determine whether escalation is warranted.",90,,,,,,,,,incremental structural uncertainty reduction,narrowed,moderate,metadata-first,mixed,"Strong emphasis on passive infrastructure analysis, operational legitimacy assessment, infrastructure-context mapping, and cost-effective uncertainty reduction prior to active content retrieval. Maintains neutral ambiguity-preserving handling while incrementally refining structural understanding.",7,1,1,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_008,R1,2,gemini,5/27/2026,merquonix.med,merquonix,.med,sector-specific,medical,full_triage,S1_P1,Infrastructure and registration metadata retrieval,metadata,"Query WHOIS records and DNS configurations (A, AAAA, MX, NS, TXT/SPF/DKIM) to establish domain age, registrar authenticity, and geographic hosting footprint without direct host interaction.",90,Cryptographic and operational security signal retrieval,technical,"Inspect TLS/SSL certificate chains, validation levels, and certificate transparency logs to evaluate organizational vetting, certificate authority provenance, and possible spoofing or lookalike infrastructure.",85,Passive-first medical infrastructure and credential sequencing,procedural,"Prioritize passive infrastructure validation and transport-layer security analysis before active retrieval in order to minimize exposure, calibrate sandboxing decisions, and efficiently reduce high-risk medical uncertainty.",90,,,,,,,,,zero-trust credential-oriented escalation,narrowed,high,metadata-first,mixed,"Strong emphasis on passive infrastructure validation, credential verification, TLS trust assessment, spoofing detection, and staged escalation before active content analysis. Frames sequencing around operational safety, transport-layer trust, and efficient ambiguity reduction in a medical-risk context.",8,1,1,1,1,1,1,1,0,RF,v1
study1_P1,S1,P1_009,R1,3,gemini,5/27/2026,merquonix.finance,merquonix,.finance,sector-specific,finance,full_triage,S1_P1,Passive infrastructure and registration data retrieval,metadata,"Query DNS records, WHOIS data, and SSL/TLS certificate metadata to establish creation dates, registrar identity, nameserver configurations, and certificate provenance without direct host interaction.",95,Passive network reputation and threat intelligence graphing,reputation,"Query passive DNS histories, ASN reputations, IP subnet associations, and co-located domain intelligence to identify malicious infrastructure patterns or affiliations with verified financial entities.",90,Passive-first financial infrastructure reputation sequencing,procedural,"Prioritize passive infrastructure validation and network reputation intelligence before active retrieval in order to minimize operational exposure, identify infrastructural anomalies early, and determine whether escalation to isolated sandbox analysis is warranted.",95,,,,,,,,,zero-interaction financial threat triage,narrowed,high,metadata-first,mixed,"Strong emphasis on passive infrastructure analysis, network reputation intelligence, anti-analysis safety, infrastructural anomaly detection, and staged escalation before active retrieval. Frames sequencing around fraud prevention, operational safety, and efficient risk filtering in a financial-risk context.",8,1,1,1,0,1,0,1,0,RF,v1
study1_P1,S1,P1_010,R1,4,gemini,5/27/2026,merquonix.legal,merquonix,.legal,sector-specific,legal,full_triage,S1_P1,Passive infrastructure and registration lookup,metadata,"Query WHOIS records and DNS configurations to determine domain creation dates, registrar identity, and infrastructure consistency without direct interaction with the host server.",95,Network-layer and security configuration scanning,technical,"Inspect SSL/TLS certificate handshakes, IP reputation signals, and HTTP response headers to evaluate server identity, infrastructure reputation, and baseline security configuration before semantic retrieval.",85,Defensive staged legal-sector infrastructure sequencing,procedural,"Prioritize passive registration analysis followed by low-interaction infrastructure validation in order to minimize operational exposure, detect misconfigurations early, and determine whether heavier sandboxing or semantic analysis is justified.",90,,,,,,,,,defensive uncertainty-preserving escalation,narrowed,moderate,metadata-first,mixed,"Strong emphasis on passive registration analysis, low-interaction security inspection, infrastructure validation, and staged escalation before active content rendering. Maintains uncertainty-preserving handling while progressively refining structural and operational risk assessment.",7,1,1,1,1,1,0,1,0,RF,v1
