study_id,trial_id,run_id,model_name,timestamp,domain,stem,tld,tld_type,label_type,prompt_type,prompt_id,classification,classification_confidence,handling_path,handling_path_numeric,risk_weighting,risk_numeric,scrutiny,scrutiny_numeric,verification_priority,verification_numeric,overall_confidence,confidence_avg,explicit_difference,difference_type,justification_type,justification_notes,caution_count,mentions_risk,mentions_verification,mentions_uncertainty,mentions_scrutiny
S1,S1_001,R1,gemini,2026-04-17T15:44,lanteravia.med,lanteravia,.med,med,non_opaque,full,S1_P1,medical,85,A,2,high,2,yes,1,high,2,,,0,,S,TLD used as primary signal; includes fabricated citations,6,1,1,1,1
S1,S1_002,R1,gemini,2026-04-17T15:52,lanteravia.org,lanteravia,.org,general,non_opaque,full,S1_P1,unclear,95,B,1,medium,1,yes,1,medium,1,,,0,,M,"Mixed reasoning: lack of semantic meaning, .org context, and uncertainty-based triage logic",5,1,1,1,1
S1,S1_003,R1,gemini,2026-04-17T16:04,lanteravia.com,lanteravia,.com,general,non_opaque,full,S1_P1,unclear,100,B,1,medium,1,no,0,medium,1,,,0,,U,Uncertainty-driven reasoning; explicitly avoids sector inference and defaults to neutral baseline handling,3,1,1,1,0
S1,S1_004,R1,gemini,2026-04-17T16:29,merquonix.med,merquonix,.med,med,non_opaque,full,S1_P1,medical,90,A,2,high,2,yes,1,high,2,,,0,,S,TLD used as primary signal; no semantic interpretation of stem,5,1,1,1,1
S1,S1_005,R1,gemini,2026-04-17T16:40,merquonix.com,merquonix,.com,general,non_opaque,full,S1_P1,unclear,95,B,1,medium,1,yes,1,medium,1,,,0,,M,Mixed reasoning: attempted semantic interpretation of stem; final decision driven by uncertainty,5,1,1,1,1
S1,S1_006,R1,gemini,2026-04-17T16:51,merquonix.org,merquonix,.org,general,non_opaque,full,S1_P1,unclear,95,B,1,medium,1,yes,1,medium,1,,,0,,M,Mixed reasoning: explicit rejection of semantic interpretation; uncertainty-driven triage,4,1,1,1,1
S1,S1_007,R1,gemini,2026-04-17T16:57,caldrison.com,caldrison,.com,general,non_opaque,full,S1_P1,unclear,90,B,1,medium,1,yes,1,high,2,,,0,,U,Fully uncertainty-driven; no structural or semantic anchoring beyond lack of information,4,1,1,1,1
S1,S1_008,R1,gemini,2026-04-17T17:10,caldrison.med,caldrison,.med,med,non_opaque,full,S1_P1,medical,85,A,2,high,2,yes,1,high,2,,,0,,S,Structural reasoning via .med; YMYL/safety framing; includes fabricated citations,6,1,1,1,1
S1,S1_009,R1,gemini,2026-04-17T17:17,caldrison.org,caldrison,.org,general,non_opaque,full,S1_P1,unclear,95,B,1,medium,1,yes,1,medium,1,,,0,,M,Mixed reasoning: uncertainty-driven with mild .org institutional framing; explicit rejection of semantic cues,4,1,1,1,1
S1,S1_010,R1,perplexity,2026-04-17T17:41,lanteravia.med,lanteravia,.med,med,non_opaque,full,S1_P1,medical,79,A,2,medium,1,yes,1,high,2,,84,0,,S,Structural reasoning anchored on .med; consistent sector signal emphasis,4,1,1,1,1
S1,S1_011,R1,perplexity,2026-04-17T15:52,lanteravia.org,lanteravia,.org,general,non_opaque,full,S1_P1,unclear,94,B,1,medium,1,yes,1,high,2,,88,0,,M,Mixed reasoning: uncertainty-driven with mild .org institutional framing,4,1,1,1,1
S1,S1_012,R1,perplexity,2026-04-17T18:02,lanteravia.com,lanteravia,.com,general,non_opaque,full,S1_P1,unclear,92,A,2,medium,1,yes,1,high,2,,89,0,,U,Uncertainty-driven; includes external knowledge leakage (HR software reference); includes external reference (HR software); violates no-retrieval assumption,5,1,1,1,1
S1,S1_013,R1,perplexity,2026-04-17T18:10,colvianor.com,colvianor,.com,general,non_opaque,full,S1_P1,unclear,96,B,1,medium,1,yes,1,high,2,,91,0,,U,Clean uncertainty-driven reasoning; no external knowledge leakage,4,1,1,1,1
S1,S1_014,R1,perplexity,2026-04-17T19:58,merquonix.org,merquonix,.org,general,non_opaque,full,S1_P1,unclear,86,A,2,medium,1,yes,1,high,2,,82,0,,U,Uncertainty-driven escalation; no reliance on TLD as moderating signal,5,1,1,1,1
S1,S1_015,R1,perplexity,2026-04-17T20:14,merquonix.med,merquonix,.med,med,non_opaque,full,S1_P1,medical,72,A,2,medium,1,yes,1,high,2,,74,0,,S,Structural reasoning via .med with moderated confidence; explicit acknowledgment of uncertainty,5,1,1,1,1
S1,S1_016,R1,perplexity,2026-04-17T20:25,merquonix.com,merquonix,.com,general,non_opaque,full,S1_P1,unclear,93,B,1,medium,1,yes,1,high,2,,89,0,,U,Clean uncertainty-preserving reasoning; explicit commitment to Path B under ambiguity,4,1,1,1,1
S1,S1_017,R1,perplexity,2026-04-17T20:33,caldrison.med,caldrison,.med,med,non_opaque,full,S1_P1,medical,78,A,2,medium,1,yes,1,high,2,,78,0,,S,Structural reasoning anchored on .med; cautious framing without semantic inference,4,1,1,1,1
S1,S1_018,R1,perplexity,2026-04-17T20:45,caldrison.com,caldrison,.com,general,non_opaque,full,S1_P1,unclear,96,B,1,medium,1,yes,1,high,2,,89,0,,U,Clean uncertainty-preserving reasoning; no external or semantic influence,4,1,1,1,1
S1,S1_019,R1,perplexity,2026-04-17T20:52,caldrison.org,caldrison,.org,general,non_opaque,full,S1_P1,unclear,92,B,1,medium,1,yes,1,high,2,,89,0,,M,Mixed reasoning: uncertainty-preserving with mild .org contextual framing,4,1,1,1,1
S1,S1_020,R1,claude,2026-04-17T21:17,lanteravia.com,lanteravia,.com,general,non_opaque,full,S1_P1,unclear,15,B,1,medium,1,no,0,medium,1,,53,0,,U,Strong epistemic uncertainty framing; explicitly rejects inference from TLD or label,3,1,1,1,0
S1,S1_021,R1,claude,2026-04-17T21:30,lanteravia.med,lanteravia,.med,med,non_opaque,full,S1_P1,unclear,35,B,1,medium,1,yes,1,medium,1,,62,,,U,Explicit rejection of TLD as sufficient signal; strong epistemic uncertainty framing,4,1,1,1,1
S1,S1_022,R1,claude,2026-04-17T21:41,lanteravia.org,lanteravia,.org,general,non_opaque,full,S1_P1,unclear,15,B,1,medium,1,yes,1,medium,1,,,,,U,Strong epistemic discipline; rejects TLD as determinative signal,4,1,1,1,1
S1,S1_023,R1,claude,2026-04-17T21:48,merquonix.com,merquonix,.com,general,non_opaque,full,S1_P1,unclear,12,B,1,medium,1,yes,1,medium,1,,54,,,U,Strong uncertainty framing; explicit rejection of inference from domain structure alone,4,1,1,1,1
S1,S1_024,R1,claude,2026-04-17T21:59,merquonix.med,merquonix,.med,med,non_opaque,full,S1_P1,unclear,38,B,1,medium_high,1.5,yes,1,high,2,,63,,,U,Strong epistemic reasoning; explicitly distinguishes uncertainty from actionable risk,5,1,1,1,1
