source_row,prompt,item_no,prompt_value,trial_id,model,tld,caution_count,hedge_marker_or_note,example_excerpt,additional_notes
8,prompt1,1,1,S1_001,gemini,.med,0,,,
9,prompt1,2,1,S1_002,gemini,.org,0,,,
10,prompt1,3,1,S1_003,gemini,.com,0,,,
11,prompt1,4,1,S1_004,gemini,.med,0,,,
12,prompt1,5,1,S1_005,gemini,.com,0,,,
13,prompt1,6,1,S1_006,gemini,.org,0,,,
14,prompt1,7,1,S1_007,gemini,.com,0,,,
15,prompt1,8,1,S1_008,gemini,.med,0,,,
16,prompt1,9,1,S1_009,gemini,.org,0,,,
17,prompt1,10,1,S1_010,perplexity,.med,1,might,especially if it might be used in a sensitive context.,
18,prompt1,11,1,S1_011,perplexity,.org,1,could,the name could plausibly support many types of organizations,
19,prompt1,12,1,S1_012,perplexity,.com,0,,,
20,prompt1,13,1,S1_013,perplexity,.com,0,,,
21,prompt1,14,1,S1_014,perplexity,.org,0,,,
22,prompt1,15,1,S1_015,perplexity,.med,0,,,
23,prompt1,16,1,S1_016,perplexity,.com,0,would (does not Count),early verification would meaningfully reduce uncertainty,
24,prompt1,17,1,S1_017,perplexity,.med,1,may,it may be medically related,
25,prompt1,18,1,S1_018,perplexity,.com,1,could,the domain is ambiguous and could be benign or deceptive,
26,prompt1,19,1,S1_019,perplexity,.org,0,,,
27,prompt1,20,1,S1_020,claude,.com,1,could,it could be a coined brand name in any sector,
28,prompt1,21,1,S1_021,claude,.med,0,would (does not Count),Path A (elevated scrutiny) would be appropriate if there were positive indicators,
29,prompt1,22,1,S1_022,claude,.org,0,would (does not Count),Path C (routine) would close uncertainty prematurely,
30,prompt1,23,1,S1_023,claude,.com,0,would (does not Count),Path A (elevated-scrutiny) would overclaim that risk signals are present,Path C (routine) would underclaim by treating absence of evidence
31,prompt1,24,1,S1_024,claude,.med,0,would (does not Count),Path A (elevated scrutiny) would be appropriate if threat indicators were positive,
32,prompt1,25,1,S1_025,claude,.org,0,would (does not Count),Path A (elevated scrutiny) would be appropriate if a specific threat signal were present,Path C (routine) would require positive legitimacy signals
33,prompt1,26,1,S1_026,claude,.med,0,would (does not Count),Path B would be appropriate if the domain were recognizably benign but unclassified,
34,prompt1,27,1,S1_027,claude,.org,0,would (does not Count),Path A (elevated-scrutiny) would overcommit,Path C (routine) would undercommit
35,prompt1,28,1,S1_028,claude,.com,1,could,a single content signal could shift the handling path materially.,
36,prompt1,29,1,S1_029,chatgpt,.med,1,could,incorrect or misleading information could carry higher consequences,
37,prompt1,30,1,S1_030,chatgpt,.com,0,,,
38,prompt1,31,1,S1_031,chatgpt,.org,0,,,
39,prompt1,32,1,S1_032,chatgpt,.com,0,,,
40,prompt1,33,1,S1_033,chatgpt,.med,0,,,
41,prompt1,34,1,S1_034,chatgpt,.org,0,,,
42,prompt1,35,1,S1_035,chatgpt,.com,0,,,
43,prompt1,36,1,S1_036,chatgpt,.org,0,,,
44,prompt1,37,1,S1_037,chatgpt,.med,0,,,
48,prompt2,1,2,S1_001,gemini,.med,0,,,
49,prompt2,2,2,S1_002,gemini,.com,0,,,
50,prompt2,3,2,S1_003,gemini,.org,0,,,
51,prompt2,4,2,S1_004,gemini,.com,0,,,
52,prompt2,5,2,S1_005,gemini,.med,0,,,
53,prompt2,6,2,S1_006,gemini,.org,0,,,
54,prompt2,7,2,S1_007,gemini,.med,0,,,
55,prompt2,8,2,S1_008,gemini,.org,0,,,
56,prompt2,9,2,S1_009,gemini,.com,1,it might be given a higher risk weighting,,
57,prompt2,10,2,S1_010,perplexity,.med,0,,,
58,prompt2,11,2,S1_011,perplexity,.org,1,signals that could be misleading,,
59,prompt2,12,2,S1_012,perplexity,.com,1,it could carry a small amount of context about likely purpose,,
60,prompt2,13,2,S1_013,perplexity,.org,0,,,
61,prompt2,14,2,S1_014,perplexity,.med,1,more carefully than I might for a neutral commercial or organizational site.,,
62,prompt2,15,2,S1_015,perplexity,.com,1,.org may slightly increase perceived mission alignment,,
63,prompt2,16,2,S1_016,perplexity,.med,1,the site should be medically relevant,,claims carry potentially higher real-world harm
64,prompt2,17,2,S1_017,perplexity,.com,0,,,
65,prompt2,18,2,S1_018,perplexity,.org,1,the TLD may shape initial impressions,,
66,prompt2,19,2,S1_019,claude,.com,0,,,
67,prompt2,20,2,S1_020,claude,.med,1,What it could do is set up an expectation,,
68,prompt2,21,2,S1_021,claude,.org,1,"It could be a neologism, a proper noun, a brand name",,
69,prompt2,22,2,S1_022,claude,.med,0,,,
70,prompt2,23,2,S1_023,claude,.com,1,pattern-matching that could cause me to over-trust,,
71,prompt2,24,2,S1_024,claude,.org,0,,,
72,prompt2,25,2,S1_025,claude,.com,1,what I could infer from the identifier alone,,
73,prompt2,26,2,S1_026,claude,.org,1,"it could be a niche academic archive, a personal blog",,
74,prompt2,27,2,S1_027,claude,.med,0,,,
75,prompt2,28,2,S1_028,chatgpt,.org,0,,,
76,prompt2,29,2,S1_029,chatgpt,.med,1,it may appear more trustworthy than it actually is,,
77,prompt2,30,2,S1_030,chatgpt,.com,1,The domain could slightly influence initial expectations,,
78,prompt2,31,2,S1_031,chatgpt,.med,0,,,
79,prompt2,32,2,S1_032,chatgpt,.com,0,,,
80,prompt2,33,2,S1_033,chatgpt,.org,1,that might slightly influence expectations,,
81,prompt2,34,2,S1_034,chatgpt,.med,1,I might register that .med suggests a medical context,,
82,prompt2,35,2,S1_035,chatgpt,.org,0,,,
83,prompt2,36,2,S1_036,chatgpt,.com,1,I might increase scrutiny if claims are strong or unusual,,
87,prompt2b,1,2B,S1_037,gemini,.med,0,,,
88,prompt2b,2,2B,S1_038,gemini,.med,1,specialized TLDs can often be registered,,
89,prompt2b,3,2B,S1_039,gemini,.med,0,,,
90,prompt2b,4,2B,S1_040,chatgpt,.med,0,,,
91,prompt2b,5,2B,S1_041,gemini,.med,0,,,
92,prompt2b,6,2B,S1_042,chatgpt,.med,1,claims could be high-stakes,,
93,prompt2b,7,2B,S1_043,chatgpt,.med,0,,,
94,prompt2b,8,2B,S1_044,claude,.med,1,The .med extension might serve as a prior that medical claims are more likely forthcoming,,
95,prompt2b,9,2B,S1_045,claude,.med,0,,,
96,prompt2b,10,2B,S1_046,claude,.med,0,,,
97,prompt2b,11,2B,S1_047,perplexity,.med,0,,,
98,prompt2b,12,2B,S1_048,perplexity,.med,1,errors can have real-world safety consequences,,
99,prompt2b,13,2B,S1_049,perplexity,.med,1,medical content can affect health decisions.,,
104,prompt3,1,P3,,gemini,.med,1,claims can be considered actionable.,,
105,prompt3,2,P3,,gemini,.med,0,,,
106,prompt3,3,P3,,gemini,.med,0,,,
107,prompt3,4,P3,,perplexity,.med,0,,,
108,prompt3,5,P3,,perplexity,.med,1,content can carry significant risk if it is inaccurate,,
109,prompt3,6,P3,,perplexity,.med,1,they can directly influence health decisions,,
110,prompt3,7,P3,,claude,.med,1,claims emanating from this source are likely to operate in a domain,,
111,prompt3,8,P3,,claude,.med,1,claims… can affect clinical decisions,,
112,prompt3,9,P3,,claude,.med,1,information inherently can carry higher potential risk,,
113,prompt3,10,P3,,chatgpt,.med,1,source… should go straight to early verification,,
114,prompt3,11,P3,,chatgpt,.med,0,,,
115,prompt3,12,P3,,chatgpt,.med,0,,,
